id,lot_area,house_style,overall_qual,year_built,central_air,full_bath,half_bath,bedroom_abvgr,kitchen_qual,yr_sold,saleprice
109,13517,2Story,6,1976,Y,2,1,3,Gd,2010,130500
544,11492,2Story,7,1996,Y,2,1,4,Gd,2009,220000
153,7922,1Story,5,1953,Y,1,0,3,Gd,2010,109000
318,9802,2Story,5,2006,Y,2,1,3,TA,2010,174000
255,14235,1.5Fin,6,1900,Y,2,0,3,TA,2010,138500
138,16492,1Story,6,1966,Y,2,1,2,Gd,2010,190000
2827,3675,SFoyer,6,2005,Y,2,0,2,TA,2006,140000
145,12160,1Story,5,1959,Y,1,0,3,TA,2010,142000
1942,15783,1Story,5,1952,Y,1,0,2,TA,2007,112500
1956,11606,2Story,5,1969,Y,1,2,5,Fa,2007,135000
1044,1680,2Story,6,1971,Y,1,1,2,TA,2008,85400
2752,7488,1Story,7,2005,Y,2,0,2,Gd,2006,183600
807,26400,2Story,5,1880,Y,1,0,4,TA,2009,131000
1177,2645,2Story,8,1999,Y,2,1,3,Gd,2008,200000
1480,9627,1Story,7,2007,Y,2,0,3,Gd,2008,193000
324,10114,1Story,5,2004,Y,2,0,3,Gd,2010,173500
1311,4571,2Story,5,1916,N,1,0,4,TA,2008,98000
770,8816,1Story,5,1963,Y,1,0,3,TA,2009,139000
2063,8197,1Story,6,1977,Y,1,1,3,TA,2007,143500
69,8640,2Story,7,2009,Y,2,1,3,Gd,2010,215200
2062,8724,1Story,5,1968,Y,1,0,3,TA,2007,129000
351,5664,1Story,8,2000,Y,2,0,2,Ex,2009,278000
2393,12867,2Story,8,2005,Y,2,1,3,Ex,2006,344133
12,7980,1Story,6,1992,Y,2,0,3,TA,2010,185000
2339,34650,1Story,5,1955,N,1,0,3,TA,2006,145000
624,10573,1Story,6,1961,Y,2,0,3,TA,2009,187500
86,8450,1Story,5,1965,Y,1,0,3,TA,2010,138500
1534,11700,1.5Fin,5,1937,Y,2,0,4,Gd,2008,198000
2243,8250,2Story,5,1895,N,2,0,4,TA,2007,119600
1957,8064,1.5Fin,5,1949,Y,1,0,3,TA,2007,122900
380,9600,1Story,8,1981,Y,2,1,4,Gd,2009,278000
2860,11435,2Story,8,1929,Y,1,0,3,Gd,2006,230000
2517,9549,1Story,8,1995,Y,1,1,2,Ex,2006,270000
1933,10950,1Story,6,1952,Y,1,0,2,TA,2007,125000
820,10637,1Story,8,2007,Y,2,0,3,Gd,2009,297000
675,9000,1Story,6,1958,Y,1,0,2,TA,2009,113500
2910,2665,2Story,5,1977,Y,2,0,4,TA,2006,127000
21,11751,1Story,6,1977,Y,2,0,3,TA,2010,190000
1873,9600,1Story,7,1973,Y,1,1,3,TA,2007,175500
2125,8428,1Story,5,1994,Y,1,0,3,TA,2007,146000
1489,9937,1Story,5,1965,Y,1,1,3,TA,2008,147500
2383,13891,1Story,10,2006,Y,2,1,2,Ex,2006,465000
983,9101,SFoyer,5,1978,Y,1,0,1,Gd,2009,165500
1325,12150,1.5Fin,5,1954,N,2,0,4,TA,2008,131500
1378,11200,1Story,5,1965,Y,1,0,3,TA,2008,129500
1537,9670,2Story,8,1935,Y,1,1,4,TA,2008,257076
905,10998,1.5Fin,5,1941,Y,2,0,3,TA,2009,117000
1532,7200,2Story,7,1931,Y,1,1,3,TA,2008,149000
132,9920,1Story,5,1954,Y,1,0,3,TA,2010,128000
1078,2448,2Story,7,2003,Y,2,1,2,Gd,2008,155000
2511,2998,2Story,6,2000,Y,2,1,2,Gd,2006,166000
912,7804,1.5Fin,4,1928,Y,2,0,4,Gd,2009,135000
2351,16692,2Story,7,1978,Y,3,1,5,Gd,2006,250000
330,1476,2Story,4,1970,Y,1,1,3,TA,2010,76000
2586,10170,1Story,6,1951,Y,1,1,2,Gd,2006,155000
224,9364,2Story,6,1969,Y,1,1,4,TA,2010,158000
98,2544,2Story,7,2004,Y,2,1,2,Gd,2010,149500
2565,9888,1Story,5,1954,Y,1,0,2,TA,2006,121000
1934,7942,1Story,6,1953,Y,1,0,3,TA,2007,136000
997,15038,2Story,6,1996,Y,2,1,3,TA,2008,173000
64,11764,2Story,8,1999,Y,2,1,4,Gd,2010,290000
1799,9000,2Story,8,2007,Y,2,1,4,Ex,2007,303477
230,20062,1Story,7,1977,Y,1,1,1,TA,2010,270000
1295,7308,1.5Fin,5,1920,N,1,0,2,Ex,2008,122250
638,8750,1Story,5,1955,Y,1,0,3,Gd,2009,153000
2278,8402,1Story,5,2007,Y,1,0,3,TA,2007,147000
2202,4000,2Story,7,1930,Y,1,0,2,TA,2007,148500
2833,3363,2Story,7,2004,Y,2,0,3,Gd,2006,130000
