gr_liv_area,garage_area,garage_cars,total_bsmt_sf,1st_flr_sf,year_remod/add,garage_yr_blt,land_slope,neighborhood,roof_matl,exter_qual,bsmtfin_type_2,saleprice,id,lot_area,house_style,overall_qual,year_built,central_air,full_bath,half_bath,bedroom_abvgr,kitchen_qual,yr_sold,saleprice
1479,475.0,2.0,725.0,725,2005,1976.0,Gtl,Sawyer,CompShg,Gd,Unf,130500,109,13517,2Story,6,1976,Y,2,1,3,Gd,2010,130500
2122,559.0,2.0,913.0,913,1997,1997.0,Gtl,SawyerW,CompShg,Gd,Unf,220000,544,11492,2Story,7,1996,Y,2,1,4,Gd,2009,220000
1057,246.0,1.0,1057.0,1057,2007,1953.0,Gtl,NAmes,CompShg,TA,Unf,109000,153,7922,1Story,5,1953,Y,1,0,3,Gd,2010,109000
1444,400.0,2.0,384.0,744,2007,2007.0,Gtl,Timber,CompShg,TA,Unf,174000,318,9802,2Story,5,2006,Y,2,1,3,TA,2010,174000
1445,484.0,2.0,676.0,831,1993,1957.0,Gtl,SawyerW,CompShg,TA,Unf,138500,255,14235,1.5Fin,6,1900,Y,2,0,3,TA,2010,138500
1888,578.0,2.0,1517.0,1888,2002,1966.0,Gtl,NAmes,CompShg,Gd,Rec,190000,138,16492,1Story,6,1966,Y,2,1,2,Gd,2010,190000
1072,525.0,2.0,547.0,1072,2006,2005.0,Gtl,Edwards,CompShg,TA,Unf,140000,2827,3675,SFoyer,6,2005,Y,2,0,2,TA,2006,140000
1188,531.0,2.0,1188.0,1188,1959,1959.0,Gtl,NAmes,CompShg,TA,Unf,142000,145,12160,1Story,5,1959,Y,1,0,3,TA,2010,142000
924,420.0,1.0,924.0,924,1952,1952.0,Gtl,OldTown,CompShg,TA,Unf,112500,1942,15783,1Story,5,1952,Y,1,0,2,TA,2007,112500
2080,504.0,2.0,1040.0,1040,1969,1969.0,Sev,NAmes,CompShg,TA,Unf,135000,1956,11606,2Story,5,1969,Y,1,2,5,Fa,2007,135000
987,264.0,1.0,483.0,483,1971,1971.0,Gtl,BrDale,CompShg,TA,Unf,85400,1044,1680,2Story,6,1971,Y,1,1,2,TA,2008,85400
1208,632.0,2.0,1208.0,1208,2005,2005.0,Gtl,CollgCr,CompShg,Gd,Unf,183600,2752,7488,1Story,7,2005,Y,2,0,2,Gd,2006,183600
2016,576.0,2.0,0.0,1288,2007,1900.0,Gtl,SawyerW,CompShg,Gd,NONE,131000,807,26400,2Story,5,1880,Y,1,0,4,TA,2009,131000
1607,480.0,2.0,960.0,962,2000,2000.0,Gtl,Somerst,CompShg,Gd,Unf,200000,1177,2645,2Story,8,1999,Y,2,1,3,Gd,2008,200000
1361,610.0,2.0,1351.0,1361,2007,2007.0,Gtl,CollgCr,CompShg,Gd,Unf,193000,1480,9627,1Story,7,2007,Y,2,0,3,Gd,2008,193000
1430,624.0,2.0,1430.0,1430,2005,2004.0,Gtl,Mitchel,CompShg,TA,Unf,173500,324,10114,1Story,5,2004,Y,2,0,3,Gd,2010,173500
1344,513.0,3.0,624.0,624,1950,1916.0,Gtl,OldTown,CompShg,TA,Unf,98000,1311,4571,2Story,5,1916,N,1,0,4,TA,2008,98000
1121,480.0,2.0,1121.0,1121,1963,1963.0,Gtl,Sawyer,CompShg,TA,Unf,139000,770,8816,1Story,5,1963,Y,1,0,3,TA,2009,139000
1285,528.0,2.0,660.0,1285,1977,1977.0,Gtl,Sawyer,CompShg,TA,Unf,143500,2063,8197,1Story,6,1977,Y,1,1,3,TA,2007,143500
1547,614.0,2.0,756.0,764,2009,2009.0,Gtl,Somerst,CompShg,TA,Unf,215200,69,8640,2Story,7,2009,Y,2,1,3,Gd,2010,215200
894,450.0,2.0,894.0,894,1968,1968.0,Gtl,Sawyer,CompShg,TA,Unf,129000,2062,8724,1Story,5,1968,Y,1,0,3,TA,2007,129000
1659,499.0,2.0,1501.0,1659,2000,2000.0,Gtl,StoneBr,CompShg,Gd,Unf,278000,351,5664,1Story,8,2000,Y,2,0,2,Ex,2009,278000
2253,575.0,2.0,1209.0,1209,2006,2005.0,Gtl,NridgHt,CompShg,Gd,Unf,344133,2393,12867,2Story,8,2005,Y,2,1,3,Ex,2006,344133
1187,420.0,2.0,1168.0,1187,2007,1992.0,Gtl,Gilbert,CompShg,TA,Unf,185000,12,7980,1Story,6,1992,Y,2,0,3,TA,2010,185000
1056,572.0,2.0,1056.0,1056,1955,1955.0,Gtl,Gilbert,CompShg,TA,Unf,145000,2339,34650,1Story,5,1955,N,1,0,3,TA,2006,145000
